subjectId,name,type
52208,数学选修1-1,数学
52677,田径,体育
52933,健身课,体育
52230,政治必修3,思想政治
52532,政治选修3,思想政治
57105,社会实践4(2017届),社会实践
50517,红楼一梦,语文
50514,美学散步,语文
47699,公民课程,校本课程
50860,Divergent,英语
50479,地理必修3,地理
50767,历史必修3,历史
50686,数学必修3,数学
50685,数学选修1-2,数学
50809,空竹初级,体育
50831,书院篮球赛事,体育
51010,物理选修1-1,物理
50615,政治必修4,思想政治
50969,政治选修2,思想政治
50469,简易机器人制作,综合技术
47583,生物必修2（1）,生物
47748,语文《孟子》研读（2）,语文
47154,英语中级文学阅读（The Glass Castle）（1）,英语
47190,正心书院舞蹈节剧组（学期）,艺术
47225,服装设计（1）,通用技术
47231,历史必修2（1）,历史
47246,批判性思维基础课程,校本课程
47499,多媒体技术（1）,信息技术
47527,简单学JAVA,信息技术
47602,数学必修2（3）,数学
47270,数学必修5（2）,数学
45519,篮球俱乐部,体育
47365,政治必修2（4）,思想政治
52941,社会实践2(2017届),社会实践
45120,生物必修1,生物
45388,中国现当代散文欣赏,语文
45132,化学必修1,化学
45194,英语文学阅读1（7）,英语
45203,插画,艺术
45221,地理必修1,地理
49299,历史必修1,历史
48511,摄影,艺术
48623,书院杯篮球课,体育
49295,政治必修1,思想政治
52940,社会实践1(2017届),社会实践
45400,正心书院戏剧节剧组学期课,艺术
45397,日语基础课程(4),校本课程
56003,被隐去的历史—中国古代女性史,历史
56018,近代中国女性与社会,历史
56191,健美操初级,体育
56194,健美操中级,体育
51524,公民课程,校本课程
52525,化学选修1,化学
52201,Tuesday with Morrie,英语
52728,电影艺术基础,艺术
52750,建筑及其设计,通用技术
52362,性别研究,校本课程
52664,撒哈拉的故事——三毛流浪记,语文
52369,跆拳道初级,体育
52687,艺术体操中级,体育
52236,物理选修1-1,物理
52261,政治必修2,思想政治
50612,生物必修3,生物
47700,公民课程,校本课程
50745,粘土手工设计与制作(初级),艺术
50473,地理必修3,地理
50881,文化地理专题,校本课程
50534,张爱玲研读,语文
50483,拉丁舞初级(男女混合),体育
50482,体育舞蹈初级,体育
50441,创意设计与制作(初级),综合技术
47586,生物必修2（4）,生物
47784,语文现当代散文名作欣赏（4）,语文
52937,社区服务2(2017届),社区服务
47215,地理必修2（2）,地理
47244,背包旅行与异域文化,校本课程
47272,数学必修5（4),数学
47301,女子田径,体育
47571,女子艺术体操初级,体育
45352,红楼一梦,语文
45410,室内设计（1）,通用技术
45464,日语,校本课程
48131,戏剧表演,艺术
49306,《庄子》研读,语文
49092,女子羽毛球1,体育
48325,播音与主持,校本课程
45284,乒乓球中级（男女混合）,体育
45297,物理必修1（4）,物理
45311,政治必修1（1）,思想政治
45399,至善书院戏剧节剧组学期课,艺术
52204,生物选修1,生物
52530,生物选修3,生物
52651,国文基础阅读(诗歌部分),语文
52330,中国现当代散文欣赏,语文
52539,化学选修2,化学
52227,化学选修5,化学
52507,基础英语写作II,英语
52505,数学选修2-2,数学
52252,数学选修4-4,数学
52386,田径,体育
52199,物理选修3-4,物理
52520,物理选修3-5,物理
52215,政治必修3,思想政治
50804,《古文观止》选读,语文
50676,化学选修1,化学
50825,书院戏剧节,艺术
50472,地理必修3,地理
50580,历史必修3,历史
50947,数学选修2-1,数学
50650,跆拳道初级,体育
50480,艺术体操初级,体育
50462,物理选修3-1,物理
50465,物理选修3-2,物理
50935,心智活动,校本课程
47100,生物必修2（1）,生物
47723,语文唐宋八大家文选（2）,语文
47744,语文西方古典名著选读（2）,语文
47116,化学必修2（1）,化学
47658,英语中级文学阅读（The Glass Castle）（2）,英语
47248,信息技术文化（1）,信息技术
47601,数学必修2（2）,数学
47560,软式垒球初级,体育
47625,物理必修2（1）,物理
47382,模拟联合国,校本课程
45176,生物必修1,生物
49297,化学必修1,化学
45192,英语文学阅读1（4）,英语
45412,多媒体技术（1）,信息技术
45250,数学必修4（1）,数学
48888,女子柔道2,体育
48917,产品设计工作室,通用技术
45149,羽毛球初级（女）,体育
45295,物理必修1（2）,物理
45316,政治必修1（6）,思想政治
45404,诚意书院戏剧节剧组学期课,艺术
45467,校园歌曲编创(学期制),艺术
52348,Topical Discussion in English 1,英语
52403,演唱技巧(初级),艺术
52731,演唱技巧(高级),艺术
50878,理论生态学与建模,校本课程
50533,张爱玲研读,语文
50652,跆拳道俱乐部,体育
47717,语文《红楼梦》赏读（1）,语文
47507,烘焙技术,通用技术
47284,数学必修2-3（5）,数学
47329,女子跆拳道初级,体育
47569,女子跆拳道中级,体育
47670,元培法学,思想政治
47531,跨文化传播导论,校本课程
45409,混声合唱团学年课,艺术
45135,化学选修1,化学
45346,粘土手工设计与制作(初级),艺术
45260,数学必修3（理）（2）,数学
48329,女子艺术体操,体育
49174,苏轼词诠释,语文
49041,物理选修3-1,物理
49153,英语文学阅读5,英语
45159,艺术体操中级,体育
45300,物理选修3-2（3）,物理
45383,《国富论》导读,思想政治
45408,无伴奏人声合唱1学期课(2),艺术
49101,语文必修4,语文
48086,女子软式垒球,体育
49162,通用必修1,通用技术
49156,英语必修3,英语
49160,物理必修2,物理
48578,诚意书院舞蹈节剧组(学期制),艺术
48899,地理必修2,地理
48037,女子跆拳道3,体育
49100,语文必修3,语文
49167,政治必修2,思想政治
49163,通用必修2,通用技术
48347,化学必修2,化学
49164,历史必修2,历史
48555,生物必修2,生物
49157,英语必修4,英语
48858,政治必修1,思想政治
49097,无伴奏人声合唱（学段制）,艺术
48683,数学必修4,数学
48890,信息必修1,信息技术
48918,历史必修1,历史
48898,生物必修1,生物
48776,女子篮球1,体育
49154,英语必修1,英语
49158,化学必修1,化学
48783,吉他初级,艺术
48861,信息选修1,信息技术
49168,语文必修2,语文
48845,物理必修1,物理
48346,女子跆拳道2,体育
48573,英语必修2,英语
49155,语文必修1,语文
48681,地理必修1,地理
49165,数学必修1,数学
52196,生物选修1,生物
52508,化学选修2,化学
52547,Short Stories 2,英语
52434,戏剧表演,艺术
52377,田径,体育
50515,美学散步,语文
50719,The Book Thief,英语
50566,初级节奏欣赏与体验,艺术
50844,编剧,艺术
50821,书院篮球赛事,体育
47741,语文《红楼梦》赏读（3）,语文
47738,语文《孟子》研读（1）,语文
47648,音响操作与现场录制,艺术
47498,电影艺术基础,艺术
47306,男子乒乓球初级,体育
47567,男子软式垒球初级,体育
47638,物理中的类比,校本课程
47360,物理中的数学方法,校本课程
47363,政治必修2（2）,思想政治
45134,化学必修1,化学
45223,地理必修1,地理
45411,室内设计（2）,通用技术
45271,数学荣誉课程1(3),数学
49290,男子乒乓球2,体育
49292,高一新生适应与自我成长,校本课程
48330,信息技术文化,信息技术
45286,篮球初级（男）,体育
45312,政治必修1（2）,思想政治
320877,研究性学习5(2017届),研究性学习活动
52240,生物选修1,生物
52336,国文基础阅读(文言文部分),语文
51519,公民课程,校本课程
52538,化学选修2,化学
52546,All the Light We Cannot See,英语
52413,沙画表演,艺术
52222,数学选修2-3,数学
52560,数学选修4-1,数学
52245,数学选修4-4,数学
52710,旱地冰球初级,体育
52381,乒乓球初级,体育
52198,物理选修3-3,物理
52206,物理选修3-4,物理
52512,物理选修3-5,物理
52545,政治必修3,思想政治
50896,《史记》人物传记研读,语文
47695,公民课程,校本课程
50678,化学选修1,化学
50675,化学选修4,化学
50849,发动机模型与应用,通用技术
50583,历史必修3,历史
50794,田径,体育
50923,羽毛球中级,体育
50460,物理选修3-1,物理
50953,物理选修3-2,物理
50966,政治必修4,思想政治
51000,学长团社团课,校本课程
47716,语文《鲁迅作品选读》（1）,语文
47739,语文《唐诗三百首》赏读（1）,语文
47118,化学必修2（3）,化学
47647,音响操作与现场录制,艺术
47201,灯光操作（学期）,艺术
47582,摄影,艺术
47487,地理必修2（2）,地理
47230,室内设计（2）,通用技术
47608,数学必修2（9）,数学
47275,数学必修5（7）,数学
47323,男子篮球初级,体育
47628,物理必修2（力学研修）,物理
47362,政治必修2（1）,思想政治
45119,生物必修1,生物
45366,杜甫诗歌赏析,语文
45142,高一英语基础课（1）,英语
45348,平面设计,艺术
